reviewId,userName,score,content,at,thumbsUpCount,replyContent,repliedAt,review_length,month,sentimen_label
b5e135fc-94c4-4a35-bbfc-f8cc3a977367,erli shop,5,faforit banget. user friendly,2026-04-05 13:11:16,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa Aplikasi OCTO disukai. Terus gunakan Aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-05 13:15:19,29,2026-04,positif
61ea84b8-43b2-4883-ac0f-d55c99319646,Muhamad Rizki,3,"aneh aplikasi sudah versi terbaru tapi tetep GK bisa login selalu ada pemberitahuan ""Belum Berhasil? Klik Coba lagi untuk mengulangi verifikasi ponsel""",2026-04-05 12:54:35,0,"Mohon maaf atas ketidaknyamanan yang dialami. Untuk pemeriksaan lebih lanjut, mohon kesediaannya untuk mengirimkan email ke 14041@cimbniaga.co.id mengenai detail kendala yang dialami, beserta nama, nomor ponsel, dan screenshot error agar tim kami dapat melakukan pengecekan. Terima kasih.",2026-04-05 13:15:22,151,2026-04,netral
b81ce971-d1d9-4280-958f-39a79847ddb5,tia lestari dewi,5,give good transaction experience,2026-04-05 12:46:55,0,"Thank you very much for the compliment! Keep using OCTO app for easier transaction anytime, and anywhere
",2026-04-05 13:14:55,32,2026-04,positif
88a4987c-ef87-4246-a5dc-d5be07fd2eb3,Rony Rihard,5,"CIMB memang virtual account ter ""the best"", cuma atm nya tolong sering di cek supaya kalau error cepat diperbaiki. selain itu puas sih. trims CIMB NIAGA.",2026-04-05 11:38:12,0,"Terima kasih atas supportnya. Aplikasi OCTO selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan aplikasi OCTO ya.
",2026-04-05 11:45:41,153,2026-04,positif
b5298f85-2875-4668-a32d-2f2f4db451b4,Awaluddin M,5,mantap gratis admin,2026-04-05 10:21:01,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa aplikasi OCTO disukai. Terus gunakan aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-05 10:45:43,19,2026-04,positif
abe579f4-8160-48c5-bbef-a0a1cb2d1461,bambang sardulo,5,cepet,2026-04-05 09:41:02,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa aplikasi OCTO disukai. Terus gunakan aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-05 09:44:52,5,2026-04,positif
08874f3b-a8c6-49dc-95c2-7e77ab46965c,Fatkhis Sariful,5,is The best pokoknya,2026-04-05 09:21:58,0,"Terima kasih atas bintang lima dan reviewnya. Senang sekali rasanya bahwa Aplikasi OCTO disukai. Terus gunakan Aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!
",2026-04-05 09:45:13,20,2026-04,positif
99f5422b-fff8-47ef-90ea-b886a5420a1f,Dino Cahyadi,5,mantap,2026-04-05 08:58:41,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa aplikasi OCTO disukai. Terus gunakan aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-05 09:15:21,6,2026-04,positif
27c281f5-4bb6-4d40-8970-6b95ab8e4116,Agus Arianto,5,mantap,2026-04-05 08:41:16,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa aplikasi OCTO disukai. Terus gunakan aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-05 08:45:00,6,2026-04,positif
42e8bb1d-0d5c-41ba-84ba-68c7040bdb17,adrewanda 1984,5,cepat dan mantab,2026-04-04 23:42:27,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa aplikasi OCTO disukai. Terus gunakan aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-04 23:44:57,16,2026-04,positif
e58a2ccf-5e68-479c-bd90-246b0f5e7077,Yunus Hidayat,5,mudah di gunakan. sangat membantu,2026-04-04 21:40:51,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa aplikasi OCTO disukai. Terus gunakan aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-04 21:45:27,33,2026-04,positif
1967d110-b97c-433e-aa64-32a7d865eda1,Aplikator Bajaringan,5,bagus,2026-04-04 21:01:20,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa aplikasi OCTO disukai. Terus gunakan aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-04 21:15:10,5,2026-04,positif
e0150a69-7487-4c52-b3d4-4fc3daedb41e,Ucup Asep,4,apk nya enggak ribet 😉,2026-04-04 20:05:10,0,Terima kasih atas supportnya. Aplikasi OCTO selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan Aplikasi OCTO ya.,2026-04-04 20:15:16,22,2026-04,positif
ba67dfad-186a-4f59-856e-394d7017358d,Teguh budiharto,5,mantap. sukses selalu. aamiin yra..,2026-04-04 18:35:55,0,"Terima kasih atas supportnya. Aplikasi OCTO selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan Aplikasi OCTO ya.
",2026-04-04 18:44:58,35,2026-04,positif
d1f3fbc0-0c8d-4732-aeca-9c82dee9e6e8,Fazar Maulana Hasan,1,"pas udah install gabisa dikonekin ke hp, alesannya aneh harus hubungin pihak samsung ato apple biar bisa konek buat transaksi",2026-04-04 18:19:18,0,"
Mohon maaf atas ketidaknyamanan yang dialami. Untuk pertanyaan dan keluhan Bapak dapat juga menghubungi layanan Social Media kami atau layanan chat OCTO melalui aplikasi OCTO dan website www.cimbniaga.co.id mengenai detail kendala yang dialami, beserta nama, nomor ponsel, dan screenshot error agar dapat kami lakukan pengecekan. Terima kasih.
",2026-04-04 18:45:08,125,2026-04,negatif
3e095690-1a68-4c35-a5db-34d8e9b9f98e,harry widya,5,mudah dan aman,2026-04-04 17:15:25,0,Terima kasih atas bintang lima dan review nya. Senang sekali rasanya bahwa aplikasi OCTO disukai. Terus gunakan aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!,2026-04-04 17:44:46,14,2026-04,positif
5900bd70-eac9-4ccd-a289-88b31609b8e3,Elfayyad Edy,5,mantap,2026-04-04 17:09:37,0,"Terima kasih atas supportnya. Aplikasi OCTO selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan Aplikasi OCTO ya.
",2026-04-04 17:15:02,6,2026-04,positif
0183bc2e-4538-4a58-9a61-bc904b153f13,DimzDix,1,"perbaiki di versi terbaru malah jadi ga bisa topup dari pulsalapak pake qris. kedetek ""format not qr"" padahal pakai barcode yg sama di apk aladin bisa normal",2026-04-04 14:08:04,0,"Mohon maaf atas kendala yang dialami. Untuk menindaklanjuti pengaduan dan melakukan pengecekan, kami memerlukan informasi lebih lanjut. Mohon kesediaannya untuk menghubungi layanan 24 jam Contact Center CIMB Niaga di 14041 atau melalui email 14041@cimbniaga.co.id. Terima kasih.
",2026-04-04 14:15:17,157,2026-04,negatif
c62abe42-c302-47ff-965f-c63e5d7ed752,Junadil Junadil,5,mantap,2026-04-04 14:04:32,0,"Terima kasih atas supportnya. Aplikasi OCTO selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan Aplikasi OCTO ya.
",2026-04-04 14:15:01,6,2026-04,positif
70dc82a9-3a7c-4540-91b0-62b06373bbdd,Angeline Wenny,4,bagus cuma kadang error,2026-04-04 14:01:46,0,"Mohon maaf atas ketidaknyamanan yang dialami. Untuk pemeriksaan lebih lanjut, mohon kesediaannya untuk mengirimkan email ke 14041@cimbniaga.co.id mengenai detail kendala yang dialami, beserta nama, nomor ponsel, dan screenshot error agar tim kami dapat melakukan pengecekan. Terima kasih.",2026-04-04 14:16:29,23,2026-04,positif
933f3d6f-cd27-4ce6-8bad-3cf060bfb471,putra petir,5,good aplication and work.,2026-04-04 13:24:57,0,"Thank you very much for the compliment! Keep using OCTO for easier transaction anytime, and anywhere
",2026-04-04 13:45:07,25,2026-04,positif
9e21b26e-613c-4587-868c-78a2ba66a81f,Mukhson Wibowo,5,"praktis,cepat",2026-04-04 12:51:02,0,"Terima kasih atas bintang lima dan review-nya. Kami senang sekali apabila aplikasi OCTO dapat mempermudah transaksi sehari-harimu. Terus gunakan aplikasi OCTO ya
",2026-04-04 13:15:06,13,2026-04,positif
3665a326-a980-4668-ac24-2165b438978f,Yuliwahyudigobox Driver,5,mantap ok,2026-04-04 12:47:51,0,"Terima kasih atas supportnya. Aplikasi OCTO selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan Aplikasi OCTO ya.
",2026-04-04 13:14:59,9,2026-04,positif
5528a3d4-788d-4f44-b651-9147c8797645,Ahmad Sholahuddin Fauzi,5,"lebih mudah, bertransaksi",2026-04-04 11:59:56,0,"Terima kasih atas bintang lima dan review-nya. Kami senang sekali apabila Aplikasi OCTO dapat mempermudah transaksi sehari-harimu. Terus gunakan Aplikasi OCTO ya
",2026-04-04 12:15:04,25,2026-04,positif
639b8fdf-b15c-4df7-a97b-b332ed279998,Mohammad Darwi,5,pelayanan nya bagus,2026-04-04 11:57:38,0,Terima kasih atas supportnya. Aplikasi OCTO selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan Aplikasi OCTO ya.,2026-04-04 12:15:08,19,2026-04,positif
2a965018-4cc6-4cec-be69-12e666abd5aa,D' soel,5,bagus.,2026-04-04 09:48:01,0,"Terima kasih atas supportnya. Aplikasi OCTO selalu berupaya untuk meningkatkan pengalaman bertransaksi agar semakin mudah untuk pengguna. Terus gunakan Aplikasi OCTO ya.
",2026-04-04 10:15:07,6,2026-04,positif
2de2916a-a7e5-46e5-88e7-8f8f5f0c2718,Dwi Nugraha,5,membantu,2026-04-04 09:45:25,0,"Terima kasih atas bintang lima dan reviewnya. Senang sekali rasanya bahwa Aplikasi OCTO disukai. Terus gunakan Aplikasi OCTO untuk transaksi lebih praktis dan mudah di mana saja!
",2026-04-04 10:15:03,8,2026-04,positif
424850a3-0925-407a-b38b-43d2ac9013af,Rini Dwi Agustin,5,lancar dan mudah,2026-04-04 08:50:44,0,"Terima kasih atas bintang lima dan review-nya. Kami senang sekali apabila Aplikasi OCTO dapat mempermudah transaksi sehari-harimu. Terus gunakan Aplikasi OCTO ya
",2026-04-04 09:15:03,16,2026-04,positif
177deb56-3dcc-40b3-beec-53b1e0ee33b7,resti nuranis,5,"sangat mudah untuk setiap akses, semoga kedepannya ada notif untuk setiap transferan yg masuk",2026-04-04 06:58:06,0,"Terima kasih atas support dan bintang limanya. Tahukah Anda bahwa Aplikasi OCTO juga memiliki fitur Cardless yang memungkinkan Anda untuk tarik dan setor tunai tanpa kartu di mesin ATM/Tarik Tunai CIMB Niaga? Login ke Aplikasi OCTO dan akses menu Cardless, pilih menu Tarik/Setor Tunai. Selamat mencoba!
",2026-04-04 07:15:45,93,2026-04,positif
b8ebc1e0-edba-48da-830f-88c8033a6cfd,Reza Febri,5,good job,2026-04-04 06:22:12,0,"Thank you very much for the compliment! Keep using OCTO App for easier transaction anytime, and anywhere",2026-04-04 06:47:25,8,2026-04,positif
3ad1acf8-7421-4a8b-a43a-998f15251d11,Sopian Ahmad,1,pelayanan sangat amat lambat anjg,2026-04-04 05:43:42,0,"Mohon maaf atas ketidaknyamanan yang dialami. Untuk pertanyaan dan keluhan dapat juga menghubungi layanan Social Media kami atau layanan chat OCTO melalui aplikasi OCTO dan website www.cimbniaga.co.id mengenai detail kendala yang dialami, beserta nama, nomor ponsel, dan screenshot error agar tim kami dapat melakukan pengecekan. Terima kasih.
",2026-04-04 05:45:03,33,2026-04,negatif
